00시 46분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> <@440735517500506113>
01시 02분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 여사친은 넘쳐나거든~
01시 02분 / 병신들 <📩채팅창 | $$$ | 248031898104889345> ^^
01시 02분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 내일도 여자애랑
01시 02분 / 병신들 <📩채팅창 | $$$ | 248031898104889345> 조랄
01시 02분 / [정보] $$$이(가) '조랄' 메시지를 삭제
01시 02분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 카페나 가서
01시 02분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 잇여야겟다
01시 02분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 는 김나경
01시 02분 / [정보] MURYAN이(가) '는 김나경' 메시지를 삭제
01시 02분 / 병신들 <📩채팅창 | ping | 669911401183182848> 아 , ,
01시 02분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 그게 진짜
01시 02분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 개킹받는
01시 02분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 사실이라니까
01시 03분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 그
01시 03분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 위험발언이야
01시 03분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 나 이미
01시 03분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 짝사랑터진지
01시 03분 / [정보] MURYAN이(가) '짝사랑터진지' 메시지를 삭제
01시 03분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
01시 23분 / 병신들 <📩채팅창 | 신현수 | 440735517500506113> 아
01시 23분 / 병신들 <📩채팅창 | 신현수 | 440735517500506113> 시~발
01시 23분 / 병신들 <📩채팅창 | 신현수 | 440735517500506113> 기분 째지노
01시 23분 / 병신들 <📩채팅창 | 신현수 | 440735517500506113> 엌ㅋㅋㅋㅋㅋ
01시 24분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> ?
01시 24분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
01시 24분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 기만하네
01시 24분 / 병신들 <📩채팅창 | 신현수 | 440735517500506113> 2년만의ㅜ연애야
01시 24분 / 병신들 <📩채팅창 | 신현수 | 440735517500506113> 봐줘
01시 24분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 나도 2년지낫어
01시 24분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 만들어줘
01시 24분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 빼애액
01시 24분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 3년인가
01시 37분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> <@496627750858260480>
01시 37분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 숡염이...
01시 37분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
01시 37분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
09시 09분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> , , , , , , ,,
10시 08분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 니가 그걸 어케알아
10시 08분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 야발
10시 09분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> <@!758963978331619331> 서버열어줘 응애
10시 12분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 감사합ㄴ다
10시 39분 / 병신들 <히히마크 | 하리하루 | 758963978331619331> https://pixelmonmod.com/wiki/Dragapult
10시 39분 / [정보] 하리하루이(가) 'https://pixelmonmod.com/wiki/Dragapult' 메시지를 'https://pixelmonmod.com/wiki/Dragapult' 로 수정
10시 40분 / 병신들 <히히마크 | 하리하루 | 758963978331619331> 서식지 사이트
10시 50분 / 병신들 <히히마크 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> <@!758963978331619331> 디코해요
10시 50분 / 병신들 <히히마크 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 소통해요
13시 46분 / [정보] 하리하루이(가) 'https://pixelmonmod.com/wiki/Dragapult' 메시지를 삭제
13시 46분 / 병신들 <히히마크 | 하리하루 | 758963978331619331> https://pixelmongenerations.com/wiki/index.php?title=Main_Page
13시 46분 / [정보] 하리하루이(가) 'https://pixelmongenerations.com/wiki/index.php?title=Main_Page' 메시지를 'https://pixelmongenerations.com/wiki/index.php?title=Main_Page' 로 수정
14시 25분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> ㅈㄹ을 하네
14시 25분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 디코년
15시 37분 / 병신들 <📊명령어 | 하리하루 | 758963978331619331> =p https://www.youtube.com/watch?v=1ob_rUv0IeA&t=387s
15시 37분 / [정보] 하리하루이(가) '=p https://www.youtube.com/watch?v=1ob_rUv0IeA&t=387s' 메시지를 '=p https://www.youtube.com/watch?v=1ob_rUv0IeA&t=387s' 로 수정
16시 41분 / 병신들 <📊명령어 | 신승민 | 405354618068008970> =p https://youtu.be/w8b8JuSEn1Y
17시 54분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 디코
17시 55분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 또
17시 55분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 지랄
17시 55분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 났네
17시 55분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 씨
17시 55분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 발
18시 01분 / 병신들 <📩채팅창 | ping | 669911401183182848> 아 ㅋㅋ 그냥 나처럼
18시 01분 / 병신들 <📩채팅창 | ping | 669911401183182848> VPN 쓰라고
18시 02분 / 병신들 <📩채팅창 | ping | 669911401183182848> https://download.vpngate.jp/common/cd.aspx/vpngate-client-2021.09.22-build-9760.151139.zip
18시 02분 / 병신들 <📩채팅창 | ping | 669911401183182848> 이거개꿀임
18시 05분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 아니 왜 대한민국에 사는대
18시 05분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 대한민국으로 해야되냐고
18시 05분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> ㅅㅂ
18시 06분 / 병신들 <📩채팅창 | ping | 669911401183182848> 혐지라
18시 06분 / 병신들 <📩채팅창 | ping | 669911401183182848> 그럼
18시 07분 / 병신들 <📩채팅창 | ping | 669911401183182848> 팅기는거보단
18시 07분 / 병신들 <📩채팅창 | ping | 669911401183182848> 낫지
20시 19분 / 병신들 <📩채팅창 | 신승민 | 405354618068008970> 나는 자랑스러운 대한민국 국민이였습니다
20시 54분 / 병신들 <📩채팅창 | ping | 669911401183182848> 느그나라
