02시 10분 / [정보] 송찬형이(가) '' 메시지를 삭제
10시 28분 / [정보] ======================
10시 28분 / [정보] < 구동 완료 >
10시 28분 / [정보] ======================
15시 13분 / [정보] ======================
15시 13분 / [정보] < 구동 완료 >
15시 13분 / [정보] ======================
15시 14분 / [정보] ======================
15시 14분 / [정보] < 구동 완료 >
15시 14분 / [정보] ======================
15시 14분 / [정보] 송찬형이(가) '응애' 메시지를 삭제
15시 22분 / [정보] ======================
15시 22분 / [정보] < 구동 완료 >
15시 22분 / [정보] ======================
18시 21분 / [정보] ======================
18시 21분 / [정보] < 구동 완료 >
18시 21분 / [정보] ======================
19시 02분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 시간을 거슬러
19시 04분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 또 뭐있지
19시 04분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> ??ㅋㅋㅋ
19시 04분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> ㅊ
19시 04분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> c
19시 05분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 쓸데없는거 개많네
19시 05분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> ㅡ.ㅡ
19시 05분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 근데
19시 05분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 너가 왜 여깄냐
19시 05분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> c
19시 05분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 난 여기 있으면 안되누...?
19시 05분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> ㅇㅇ
19시 05분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> ^^
19시 05분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 왱
19시 05분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 아니...
19시 05분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 잠만
19시 05분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 아 김민준 만났냐
19시 05분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> ㅇㅇ
19시 05분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 물론이지
19시 05분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 며칠 놀았음
19시 05분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> ?
19시 06분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 김기태랑 민준이랑 만나서 동대문가고
19시 06분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 샤브샤브 먹고 청계천 돌다가옴
19시 06분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 하루 놀았음?
19시 06분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 밤에 만났고 하루 밖에 못놀았음
19시 06분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> ㅇㅇ
19시 06분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> ㅇㅎ
19시 06분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> ㅈ밥들이네
19시 06분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 막 내일저녁에 가야된다그래서...
19시 06분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 나 였으면 하루 놀거면 밤 샛다
19시 06분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> ㅂㅅ들
19시 06분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 내가 안되는게 아니고 걔가안된대 ㅋㅋ
19시 06분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 밤을 새려면 집이 있어야되잖아...
19시 07분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 밖에서 새냐
19시 07분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p ticket 래원
19시 07분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 1
19시 07분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> ㅇㅇ
19시 07분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> ㅡ.ㅡ
19시 07분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 왜 못새
19시 07분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 밖에서도 ㅆㄱㄴ인데
19시 07분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 뭐가 ㅆㄱㄴ 이여
19시 07분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 응 너가 ㅈ밥인거야~
19시 07분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 그래
19시 07분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 그래
19시 07분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 끝이라고 말하지마
19시 07분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 1
19시 07분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 이미 난 관심도 없어..
19시 07분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 노래나 해
19시 08분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 앰맥ㄹ충
19시 22분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =skip
19시 33분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 내가 왜 엠맥충이야
19시 33분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> ㅡ.ㅡ
19시 33분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> =p 어김없이
19시 34분 / 병신들 <📊명령어 | yajuntv | 468082098335645696> 1
19시 37분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =skip
19시 37분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =skip
19시 37분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =skip
23시 15분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> <@!758963978331619331>
23시 15분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 야씨발
23시 15분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 나
23시 15분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 약점보험 만들어놨는데
23시 15분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 이거 사라졌는데?
